stl1f6_33	mFtl2f7_53	mFtl2f8_93	s3gf3_56	mFgtl2f6_45	mF3gtl2f6_45	mF2gtl2f6_45	s3gf2_15	stl3f4_16	mFtl2f7_93	stl1f6_2	mFtl3f7_39	stl1f5_1	mF3gtl3f8_58	mF3gf3_46	mF2gf4_218	mFtl3f8_78	mFgtl3f8_58	mFtl2f6_27	mF3gtl2f8_201	stl3f5_31	stl1f7_95	mF3gtl3f6_52	mF2gtl3f6_52	stl1f8_223	mFtl1f8_251	mFgf4_115	mF2gtl3f8_58	mF2gf4_17	mFgtl2f8_201	sgf3_3	s3gf3_39	sgtl3f6_60	mFgtl3f6_52	stl3f4_11	mF2gtl2f8_201	s2gtl3f6_60	mF2gtl2f8_114	mF3gf3_85	stl3f7_124	stl1f6_48	mFgtl2f8_114	s3gf3_127	mF3gf4_220	s3gtl3f6_60	mF3gf4_30	mF3gf4_209	mFgtl2f8_89	stl1f6_31	labels
0	0.00963081861958	0.00267665952891	0.0243902439024	0.0101658640984	0.010176754151	0.0101713062099	0.0963855421687	0.047619047619	0.00642054574639	0	0.0107009095773	0	0.00482573726542	0.0122994652406	0.00267379679144	0.00428265524625	0.00482056775576	0.0144385026738	0.00321715817694	0.0481927710843	0.0123456790123	0.00856989823246	0.00856531049251	0.0125	0.00535331905782	0.00374131480492	0.0048231511254	0.00588235294118	0.00321371183717	0	0	0.037037037037	0.00856072766185	0	0.0032154340836	0.0375	0.0037513397642	0.0155080213904	0.0123456790123	0.0243902439024	0.0037493304767	0.0365853658537	0.00267522739433	0.0379746835443	0.00214018191546	0.00535045478866	0.00267809319764	0.0121951219512	1
0	0.00663349917081	0.00830564784053	0.0263157894737	0.0248756218905	0.0249584026622	0.0249169435216	0.0909090909091	0.115384615385	0.016583747927	0	0.00331674958541	0	0	0.0215231788079	0.00496688741722	0	0	0.0132450331126	0.00333889816361	0.0649350649351	0.0266666666667	0.0199667221298	0.0199335548173	0.027027027027	0.00498338870432	0	0	0.00662251655629	0.00332778702163	0	0	0.0266666666667	0.0199004975124	0.0128205128205	0.00333333333333	0.027027027027	0.00166666666667	0.00827814569536	0.0266666666667	0.0526315789474	0.00166389351082	0.0789473684211	0	0.027397260274	0.00663349917081	0.00497512437811	0.00499168053245	0.0394736842105	1
0	0.0123456790123	0.0023166023166	0	0.0123456790123	0.0123647604328	0.0123552123552	0.0816326530612	0.06	0.00617283950617	0	0.00848765432099	0	0.00386996904025	0.0131071703932	0.00231303006939	0.003861003861	0.00386398763524	0.0200462606014	0.00386996904025	0.0612244897959	0.0425531914894	0.00927357032457	0.00926640926641	0.0434782608696	0.0046332046332	0.00231124807396	0.00386697602475	0.00462606013878	0.00386398763524	0	0.0208333333333	0.063829787234	0.00925925925926	0.04	0.00386697602475	0.0652173913043	0.00386697602475	0.0185042405551	0.0212765957447	0.0416666666667	0.00386398763524	0.0416666666667	0.00617283950617	0.0666666666667	0.00308641975309	0.00385802469136	0.0015455950541	0.0416666666667	1
0.0352941176471	0.00613496932515	0	0.0117647058824	0.0081799591002	0.0082135523614	0.00819672131148	0.046511627907	0.0229885057471	0.00613496932515	0.0352941176471	0.00613496932515	0.0348837209302	0.00412371134021	0.0122448979592	0.00408163265306	0.00204918032787	0.0041067761807	0.0142857142857	0.00412371134021	0.0116279069767	0	0.0123203285421	0.0122950819672	0	0.00409836065574	0.0020366598778	0.00411522633745	0.00408163265306	0.0041067761807	0.0114942528736	0.0235294117647	0.0119047619048	0.0122699386503	0.0574712643678	0.00411522633745	0.0120481927711	0.00411522633745	0.00816326530612	0.0119047619048	0.0117647058824	0.0041067761807	0.0117647058824	0	0.0121951219512	0.00204498977505	0.00204498977505	0	0	1
0	0.0075	0.00667222685571	0.0227272727273	0.015	0.0150250417362	0.0150125104254	0.0337078651685	0.0333333333333	0.00916666666667	0	0.00833333333333	0	0.00585284280936	0.0116569525396	0.00166527893422	0.00667222685571	0.00584307178631	0.0133222314738	0.00501672240803	0.0112359550562	0.0229885057471	0.0150250417362	0.0150125104254	0.0116279069767	0.00750625521268	0.00166389351082	0.00584795321637	0.007493755204	0.00500834724541	0	0.0227272727273	0	0.015	0.0222222222222	0.00501253132832	0	0.00835421888053	0.0166527893422	0	0.0454545454545	0.00834724540902	0.0227272727273	0.00166666666667	0	0.00416666666667	0.00416666666667	0.00584307178631	0.0340909090909	1
0.0149253731343	0.00777453838678	0.00486381322957	0.0149253731343	0.0145772594752	0.014605647517	0.0145914396887	0.0441176470588	0.0579710144928	0.00971817298348	0.0298507462687	0.00583090379009	0.0294117647059	0.00390243902439	0.00485436893204	0.00291262135922	0.00486381322957	0.00389483933788	0.0165048543689	0.00878048780488	0.0441176470588	0	0.0136319376826	0.0136186770428	0	0.00291828793774	0	0.00389863547758	0.000970873786408	0.00876338851022	0.0289855072464	0.0149253731343	0.0151515151515	0.0136054421769	0.0434782608696	0.00877192982456	0.0153846153846	0.00389863547758	0.0203883495146	0	0.0149253731343	0.00389483933788	0.0149253731343	0.00291545189504	0.015625	0.000971817298348	0.000971817298348	0.00292112950341	0.0149253731343	1
0	0.00990099009901	0	0.0263157894737	0.0049504950495	0.005	0.00497512437811	0.0909090909091	0.115384615385	0	0	0.0049504950495	0	0	0.00985221674877	0	0.00497512437811	0	0.0246305418719	0	0.0649350649351	0.0266666666667	0.015	0.0149253731343	0.027027027027	0	0.00980392156863	0	0.00492610837438	0	0	0	0.0266666666667	0.0148514851485	0.0128205128205	0	0.027027027027	0.00502512562814	0.0147783251232	0.0266666666667	0.0526315789474	0.005	0.0789473684211	0	0.027397260274	0	0.00990099009901	0	0.0394736842105	1
0.0120481927711	0.00728597449909	0.000911577028259	0.0120481927711	0.011839708561	0.0118613138686	0.0118505013674	0.047619047619	0.0352941176471	0.00364298724954	0.0120481927711	0.00728597449909	0.0119047619048	0.00274223034735	0.0090991810737	0.00181983621474	0.00455788514129	0.00273722627737	0.0127388535032	0.00457038391225	0.0119047619048	0.0121951219512	0.014598540146	0.0145852324521	0	0.00364630811304	0.00636363636364	0.0027397260274	0.00181983621474	0.00456204379562	0.0117647058824	0.0120481927711	0	0.0145719489982	0.0588235294118	0.00456621004566	0	0.00547945205479	0.00818926296633	0	0.0240963855422	0.00547445255474	0.0120481927711	0.00273224043716	0	0.000910746812386	0.00546448087432	0.00182481751825	0.0120481927711	1
0.012987012987	0.00728597449909	0.000911577028259	0	0.011839708561	0.0118613138686	0.0118505013674	0.0512820512821	0.0506329113924	0.00364298724954	0.012987012987	0.00728597449909	0.0128205128205	0.00274223034735	0.0090991810737	0.00181983621474	0.00455788514129	0.00273722627737	0.0127388535032	0.00457038391225	0.025641025641	0	0.014598540146	0.0145852324521	0	0.00364630811304	0.00636363636364	0.0027397260274	0.00181983621474	0.00456204379562	0.0253164556962	0.012987012987	0.0131578947368	0.0145719489982	0.0506329113924	0.00456621004566	0.0133333333333	0.00547945205479	0.00818926296633	0	0	0.00547445255474	0.012987012987	0.00273224043716	0.0135135135135	0.000910746812386	0.00546448087432	0.00182481751825	0.012987012987	1
0.0120481927711	0.00754716981132	0.00209731543624	0.0120481927711	0.0117400419287	0.0117498950902	0.011744966443	0.047619047619	0.0352941176471	0.0083857442348	0.0120481927711	0.00670859538784	0.0119047619048	0.00377992440151	0.00880134115675	0.00335289186924	0.00209731543624	0.00377675199329	0.012154233026	0.00503989920202	0.0119047619048	0.0121951219512	0.0134284515317	0.0134228187919	0	0.00293624161074	0.00125680770842	0.00377833753149	0.00209555741827	0.00503566932438	0.0117647058824	0.0120481927711	0	0.0134171907757	0.0588235294118	0.00503778337531	0	0.00545759865659	0.0171835708298	0	0.0240963855422	0.00545530843475	0.0120481927711	0.00503144654088	0	0.00251572327044	0.00461215932914	0.00209819555183	0.0120481927711	1
